model,raw_ppl,normalised_ppl,top1,top10,vocab_size
pre,2.2980,2.2980,0.4738,0.7447,8k
pre,2.2980,2.2980,0.4738,0.7448,8k
pre,2.2919,2.2919,0.4752,0.7456,8k
pre,2.3015,2.3015,0.4728,0.7442,8k
suf,2.3066,2.3088,0.4745,0.7488,8k
suf,2.3026,2.3048,0.4754,0.7496,8k
suf,2.3082,2.3104,0.4740,0.7490,8k
suf,2.3081,2.3103,0.4739,0.7489,8k
wsonly,2.3689,2.3688,0.6144,0.8195,8k
wsonly,2.3762,2.3762,0.6134,0.8187,8k
wsonly,2.3721,2.3720,0.6139,0.8189,8k
wsonly,2.3730,2.3730,0.6139,0.8191,8k
both-single,2.3645,2.3659,0.4869,0.8047,8k
both-single,2.3695,2.3709,0.4858,0.8044,8k
both-single,2.3690,2.3704,0.4863,0.8041,8k
both-single,2.3647,2.3661,0.4868,0.8046,8k
pre,2.2948,2.2948,0.4497,0.7231,16k
pre,2.2897,2.2897,0.4513,0.7239,16k
pre,2.2917,2.2917,0.4507,0.7235,16k
pre,2.2930,2.2930,0.4502,0.7233,16k
suf,2.2977,2.2999,0.4531,0.7251,16k
suf,2.2951,2.2973,0.4534,0.7253,16k
suf,2.2974,2.2995,0.4527,0.7250,16k
suf,2.2991,2.3013,0.4525,0.7248,16k
wsonly,2.3719,2.3719,0.6087,0.8100,16k
wsonly,2.3699,2.3700,0.6087,0.8099,16k
wsonly,2.3742,2.3743,0.6081,0.8094,16k
wsonly,2.3705,2.3705,0.6087,0.8099,16k
both-single,2.3617,2.3631,0.4710,0.7787,16k
both-single,2.3609,2.3623,0.4712,0.7787,16k
both-single,2.3619,2.3634,0.4709,0.7786,16k
both-single,2.3600,2.3615,0.4709,0.7788,16k
pre,2.3014,2.3014,0.4323,0.7056,32k
pre,2.3004,2.3004,0.4331,0.7056,32k
pre,2.3062,2.3062,0.4316,0.7047,32k
pre,2.3014,2.3014,0.4330,0.7054,32k
suf,2.2999,2.3021,0.4346,0.7051,32k
suf,2.2951,2.2973,0.4361,0.7061,32k
suf,2.2988,2.3010,0.4351,0.7056,32k
suf,2.2954,2.2975,0.4355,0.7061,32k
wsonly,2.3940,2.3940,0.6049,0.8033,32k
wsonly,2.3910,2.3910,0.6057,0.8037,32k
wsonly,2.3855,2.3855,0.6066,0.8042,32k
wsonly,2.3890,2.3890,0.6060,0.8036,32k
both-single,2.3708,2.3722,0.4560,0.7540,32k
both-single,2.3803,2.3818,0.4546,0.7522,32k
both-single,2.3717,2.3731,0.4563,0.7535,32k
both-single,2.3731,2.3745,0.4559,0.7532,32k
both-double,2.0554,2.3060,0.4905,0.7645,8k
both-double,2.0544,2.3047,0.4906,0.7650,8k
both-double,2.0543,2.3046,0.4910,0.7648,8k
both-double,2.0545,2.3048,0.4905,0.7648,8k
both-double,2.0535,2.3036,0.4695,0.7395,16k
both-double,2.0535,2.3036,0.4695,0.7397,16k
both-double,2.0553,2.3059,0.4692,0.7392,16k
both-double,2.0536,2.3037,0.4693,0.7398,16k
both-double,2.0598,2.3118,0.4522,0.7192,32k
both-double,2.0577,2.3091,0.4524,0.7198,32k
both-double,2.0630,2.3159,0.4512,0.7188,32k
both-double,2.0622,2.3149,0.4517,0.7187,32k
