model,raw_ppl,normalised_ppl,top1,top10,vocab_size
pre,2.1603,2.1603,0.4757,0.7630,8k
pre,2.1615,2.1615,0.4751,0.7631,8k
pre,2.1536,2.1536,0.4770,0.7643,8k
pre,2.1643,2.1643,0.4741,0.7624,8k
suf,2.1708,2.1729,0.4781,0.7651,8k
suf,2.1655,2.1676,0.4795,0.7660,8k
suf,2.1696,2.1717,0.4782,0.7656,8k
suf,2.1707,2.1728,0.4783,0.7653,8k
wsonly,2.2308,2.2308,0.6318,0.8393,8k
wsonly,2.2382,2.2382,0.6310,0.8384,8k
wsonly,2.2317,2.2317,0.6320,0.8388,8k
wsonly,2.2312,2.2313,0.6321,0.8392,8k
both-single,2.2425,2.2438,0.4906,0.8185,8k
both-single,2.2476,2.2489,0.4891,0.8180,8k
both-single,2.2461,2.2474,0.4898,0.8181,8k
both-single,2.2424,2.2438,0.4905,0.8186,8k
pre,2.1446,2.1446,0.4541,0.7471,16k
pre,2.1409,2.1409,0.4551,0.7478,16k
pre,2.1416,2.1416,0.4551,0.7476,16k
pre,2.1448,2.1448,0.4543,0.7469,16k
suf,2.1481,2.1502,0.4591,0.7474,16k
suf,2.1467,2.1488,0.4596,0.7475,16k
suf,2.1476,2.1496,0.4583,0.7476,16k
suf,2.1493,2.1514,0.4585,0.7469,16k
wsonly,2.2209,2.2209,0.6284,0.8329,16k
wsonly,2.2194,2.2195,0.6282,0.8332,16k
wsonly,2.2201,2.2201,0.6285,0.8328,16k
wsonly,2.2214,2.2215,0.6279,0.8328,16k
both-single,2.2372,2.2386,0.4740,0.7958,16k
both-single,2.2351,2.2365,0.4744,0.7961,16k
both-single,2.2367,2.2381,0.4745,0.7958,16k
both-single,2.2354,2.2368,0.4745,0.7960,16k
pre,2.1330,2.1330,0.4426,0.7381,32k
pre,2.1308,2.1308,0.4434,0.7384,32k
pre,2.1357,2.1357,0.4420,0.7376,32k
pre,2.1318,2.1318,0.4430,0.7381,32k
suf,2.1351,2.1371,0.4456,0.7353,32k
suf,2.1299,2.1319,0.4469,0.7362,32k
suf,2.1336,2.1356,0.4462,0.7355,32k
suf,2.1321,2.1341,0.4465,0.7359,32k
wsonly,2.2203,2.2203,0.6268,0.8300,32k
wsonly,2.2179,2.2179,0.6271,0.8300,32k
wsonly,2.2136,2.2136,0.6278,0.8306,32k
wsonly,2.2180,2.2180,0.6272,0.8299,32k
both-single,2.2259,2.2272,0.4629,0.7755,32k
both-single,2.2328,2.2342,0.4621,0.7742,32k
both-single,2.2276,2.2290,0.4629,0.7752,32k
both-single,2.2277,2.2290,0.4627,0.7749,32k
both-double,1.9411,2.1765,0.4932,0.7803,8k
both-double,1.9393,2.1741,0.4935,0.7808,8k
both-double,1.9400,2.1750,0.4938,0.7804,8k
both-double,1.9386,2.1731,0.4934,0.7809,8k
both-double,1.9280,2.1592,0.4738,0.7619,16k
both-double,1.9287,2.1601,0.4742,0.7615,16k
both-double,1.9300,2.1618,0.4737,0.7613,16k
both-double,1.9293,2.1609,0.4738,0.7614,16k
both-double,1.9206,2.1494,0.4615,0.7486,32k
both-double,1.9183,2.1464,0.4620,0.7493,32k
both-double,1.9218,2.1510,0.4607,0.7485,32k
both-double,1.9221,2.1514,0.4614,0.7480,32k
