model,raw_ppl,normalised_ppl,top1,top10,vocab_size
pre,2.3997,2.3997,0.4169,0.7104,8k
pre,2.3982,2.3982,0.4168,0.7109,8k
pre,2.3949,2.3949,0.4173,0.7114,8k
pre,2.4035,2.4035,0.4163,0.7098,8k
suf,2.4164,2.4192,0.4206,0.7137,8k
suf,2.4127,2.4155,0.4218,0.7143,8k
suf,2.4157,2.4186,0.4207,0.7138,8k
suf,2.4167,2.4195,0.4210,0.7138,8k
wsonly,2.4583,2.4584,0.6033,0.8144,8k
wsonly,2.4675,2.4676,0.6023,0.8137,8k
wsonly,2.4603,2.4604,0.6034,0.8143,8k
wsonly,2.4602,2.4603,0.6031,0.8144,8k
both-single,2.4907,2.4925,0.4373,0.7779,8k
both-single,2.4893,2.4912,0.4375,0.7780,8k
both-single,2.4903,2.4936,0.4368,0.7776,8k
both-single,2.4854,2.4892,0.4376,0.7784,8k
pre,2.3883,2.3883,0.3952,0.6916,16k
pre,2.3845,2.3845,0.3963,0.6916,16k
pre,2.3872,2.3872,0.3957,0.6912,16k
pre,2.3901,2.3901,0.3948,0.6907,16k
suf,2.3988,2.4016,0.4029,0.6929,16k
suf,2.3972,2.4000,0.4032,0.6931,16k
suf,2.3973,2.4001,0.4028,0.6932,16k
suf,2.3969,2.3997,0.4026,0.6932,16k
wsonly,2.4404,2.4406,0.6023,0.8099,16k
wsonly,2.4388,2.4390,0.6024,0.8099,16k
wsonly,2.4390,2.4392,0.6024,0.8098,16k
wsonly,2.4376,2.4379,0.6028,0.8100,16k
both-single,2.4798,2.4816,0.4233,0.7495,16k
both-single,2.4756,2.4775,0.4242,0.7502,16k
both-single,2.4804,2.4823,0.4232,0.7493,16k
both-single,2.4793,2.4811,0.4239,0.7495,16k
pre,2.3811,2.3811,0.3825,0.6785,32k
pre,2.3785,2.3785,0.3832,0.6790,32k
pre,2.3842,2.3842,0.3822,0.6777,32k
pre,2.3808,2.3808,0.3833,0.6790,32k
suf,2.3886,2.3914,0.3895,0.6766,32k
suf,2.3834,2.3862,0.3906,0.6779,32k
suf,2.3873,2.3901,0.3900,0.6770,32k
suf,2.3839,2.3867,0.3906,0.6779,32k
wsonly,2.4456,2.4458,0.6020,0.8061,32k
wsonly,2.4424,2.4426,0.6025,0.8061,32k
wsonly,2.4411,2.4412,0.6025,0.8065,32k
wsonly,2.4391,2.4392,0.6022,0.8066,32k
both-single,2.4741,2.4760,0.4077,0.7212,32k
both-single,2.4821,2.4840,0.4066,0.7200,32k
both-single,2.4768,2.4787,0.4075,0.7207,32k
both-single,2.4788,2.4807,0.4073,0.7207,32k
both-double,2.1071,2.4171,0.4318,0.7247,8k
both-double,2.1043,2.4133,0.4329,0.7256,8k
both-double,2.1065,2.4162,0.4324,0.7250,8k
both-double,2.1034,2.4120,0.4329,0.7257,8k
both-double,2.0986,2.4055,0.4153,0.7030,16k
both-double,2.0981,2.4048,0.4154,0.7028,16k
both-double,2.0997,2.4070,0.4151,0.7028,16k
both-double,2.0992,2.4063,0.4152,0.7028,16k
both-double,2.0900,2.3939,0.4017,0.6861,32k
both-double,2.0927,2.3975,0.4013,0.6849,32k
both-double,2.0931,2.3981,0.4012,0.6854,32k
both-double,2.0936,2.3987,0.4018,0.6851,32k
